document,year,doc_type,page_number,category,has_investment_amount,pattern_matched,context
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,5,Initiative,False,implement," made to groups working to scale many of  the tenets of Regenerative Organic and help more  farmers implement practices to improve soil health. $2,300,000+ In grants made to groups focused on supporting  envir"
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,5,Initiative,False,scale,"ns and  improving human and ecological resiliency. $2,700,000+  In grants made to groups working to scale many of  the tenets of Regenerative Organic and help more  farmers implement practices to improve s"
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,5,Initiative,True,"\$\d+(?:,\d+)*(?:\.\d+)?\s*(?:million|billion|M|B)","2020 so our employees could vote. 20,843 Hours of skill-based volunteering donated (valued  at over $3M) through Patagonia Action Works. 1% for the Planet"
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,7,Initiative,False,program,r their labor and  received improved benefits from Patagonia’s  participation in the Fair Trade USA program. 185  Number of people who attended virtual workshops  and discussions on topics including how to c
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,7,Initiative,False,create,"m. 185  Number of people who attended virtual workshops  and discussions on topics including how to create  upcycled yarn hosted by our Worn Wear team. 1,913 Number of people who attended Worn  Wear Tour ev"
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,7,Initiative,False,pilot,". 800 Number of organic cotton farmers  involved in Patagonia’s Regenerative  Organic Certification pilots in India. 169,944 Pounds of old Patagonia garments that could not be  repaired or reused that were"
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,7,Initiative,False,scale,"7 8.81 Average quality score on a 1–10 scale (10 being  best), against our internal Patagonia Design Quality  Attributes rating system. This rat"
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,10,Initiative,False,implement," Best Practices  with Other Companies In support of our commitment to “use business to inspire  and implement solutions to the environmental crisis,” we will  share proprietary information and best practices w"
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,11,Initiative,False,program,s to vote. 578 The number of times the media mentioned our  Worn Wear clothing recycling and resale program. 102 The number of times the media  mentioned our work as a B Corp.  439 The number of times the me
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,11,Initiative,False,investment," creating sustainable materials. 29,754 Pounds of fishing net repurposed into products  through our investment in Bureo, Inc. 100 Speaking engagements (mainly virtual  due to COVID-19) — at which Patagonia  emp"
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,11,Initiative,False,investment,"lture. 1,500+ Number of households that installed solar energy  through our Tin Shed Ventures solar investment."
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,15,Initiative,False,program," targets  due to COVID-19 closure. $175,635.85 Dollars matched through our  Employee Charity Match  Program. Patagonia matches  charitable contributions made by  employees, doubling the funds  donated to the"
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,15,Initiative,False,program,"ut most deeply 1,336  Hours employees participated  in volunteering for Patagonia’s  Activism Hours Program, for which  employees are encouraged to  used paid time off to engage in  activism and support non-"
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,15,Initiative,False,program,"ions. $642,000  Dollars invested in employees'  ongoing learning through our  Tuition Reimbursement program. 100% Percentage of permanent  retail staff that were paid their  full salary throughout multiple  "
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,15,Initiative,False,project,"atagonia- arranged volunteer workdays  supporting the civic engagement  group, Environmental Voter  Project, in their texting efforts  for the 2020 Elections. $642,000  Dollars invested in employees'  ongoin"
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,15,Initiative,True,"\$\d+(?:,\d+)*(?:\.\d+)?\s*(?:million|billion|M|B)",  conversation vary from protecting  our public lands to raising the  next generation of activists. $1.58 Million Precautionary pay hours paid  to hourly employees who were  unable to go into a Patagonia  facility
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,16,Initiative,False,program,"rning space on  our Ventura and Reno campuses. $48,098 Subsidies provided for Patagonia  child-care programs. $23,200 Total stipends paid globally for child  care (to employees who don’t have  access to Pata"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,4,Initiative,False,program,"ed team located in five countries that work to uphold our social and environmental responsibil- ity program.   In the mid-1990’s, we developed and implemented a Workplace Code of Conduct and factory mon- ito"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,4,Initiative,False,program,"n the mid-1990’s, we developed and implemented a Workplace Code of Conduct and factory mon- itoring program in our finished goods factories to combat human trafficking, forced labor and child  labor.  In 201"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,4,Initiative,False,program,"combat human trafficking, forced labor and child  labor.  In 2011 Patagonia expanded its monitoring program to include our “Tier 2” suppliers who pro- vide our finished goods factories with the materials tha"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,4,Initiative,False,implement,"uphold our social and environmental responsibil- ity program.   In the mid-1990’s, we developed and implemented a Workplace Code of Conduct and factory mon- itoring program in our finished goods factories to c"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,4,Initiative,False,expand,"shed goods factories to combat human trafficking, forced labor and child  labor.  In 2011 Patagonia expanded its monitoring program to include our “Tier 2” suppliers who pro- vide our finished goods factori"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,5,Initiative,False,program," child labor and responsible recruitment. This practice has been part of our  social responsibility program since the mid-1990s. Starting in late-2011, we traced our materials sup- ply chain and currently mo"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,6,Initiative,False,program,"torily meet our standards can orders be placed. The supplier is then put on a monitoring  cycle and programs tailored to the supplier’s performance level.  This includes audits, trainings,  capacity building"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,6,Initiative,False,program,"e verification was not an independent, unan- nounced audit.” a.	 Audit Methodology Our social audit program consistently monitors all of our finished goods factories and their sub- contractors (Tier 1), and,"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,6,Initiative,False,program,"tead offered free trainings and other engagements that helps the factory further elevate  their CSR program.  Through our Migrant Worker Employment Standards, we have established clear and specific  standard"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,6,Initiative,False,establish,"ctory further elevate  their CSR program.  Through our Migrant Worker Employment Standards, we have established clear and specific  standards for our Tier 1 and Tier 2 monitored suppliers to prevent the occurr"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,7,Initiative,False,program,"r laws and our Code of Conduct. These activities include special  trainings, continuous improvement programs, capacity building initiatives, like the ILO Better Work  program and Fair Trade, and collaboratio"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,7,Initiative,False,program,"rainings, continuous improvement programs, capacity building initiatives, like the ILO Better Work  program and Fair Trade, and collaboration efforts with other brands and the FLA. b.	 Audit Statistics Pre-s"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,7,Initiative,False,program,"iating purchase orders. Tier 1: Finished Goods  The scope of the Tier 1, finished goods, monitoring program includes 100% of the finished goods  factories and their subcontractors producing for Patagonia.   "
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,7,Initiative,False,program,"oducing for Patagonia.   Tier 2: Raw Materials   The scope of the Tier 2, raw materials, monitoring program includes suppliers that make about  80% of the total cost of raw materials purchased by Patagonia a"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,7,Initiative,False,initiative,"ct. These activities include special  trainings, continuous improvement programs, capacity building initiatives, like the ILO Better Work  program and Fair Trade, and collaboration efforts with other brands and"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,7,Initiative,False,partnership," by appointment with the factory. We use this approach  as it conveys our desire to build trust and partnership with our suppliers. In our experience,  unannounced audits have not yielded higher rates of finding"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,7,Initiative,False,collaboration,"ment programs, capacity building initiatives, like the ILO Better Work  program and Fair Trade, and collaboration efforts with other brands and the FLA. b.	 Audit Statistics Pre-sourcing  Patagonia conducts pre-sc"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,7,Initiative,False,announce,"  as it conveys our desire to build trust and partnership with our suppliers. In our experience,  unannounced audits have not yielded higher rates of findings, if anything it encourages sup- plier non-transpa"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,7,Initiative,False,announce," our audit methodology; and our factory pre-screening pro- cess. With that said, we will consider unannounced inspections and surveillance of suppliers if  deemed necessary.  Exceptions during covid-19 pandem"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,8,Initiative,False,create,"ors with an average of 12 years or more of industry experience.  To help expand our coverage and to create checks-and-balances, we also partner with several  vetted and pre-approved NGOs and monitoring firm"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,8,Initiative,False,expand,"ers are also  trained auditors with an average of 12 years or more of industry experience.  To help expand our coverage and to create checks-and-balances, we also partner with several  vetted and pre-approv"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,9,Initiative,False,program,"ssment in between  years. In 2017, the FLA reaccredited our Social and Environmental Responsibility program. Since  then we have also submitted self-assessments with supporting documents to demonstrate our  "
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,9,Initiative,False,announce,"ment in our  fabric mills, we held our first annual seminar in late 2014 for our suppliers where we announced  these Standards, provided education on the issues facing migrant workers and showed how to  ident"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,9,Initiative,False,create,"ted to  Patagonia so that appropriate action can be taken. In addition, we require our suppliers to create and maintain their own internal grievance mech- anism.  We have developed clear standards, a guidan"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,10,Initiative,False,program,o educate or update our employees including:  •	 New hire trainings on our corporate responsibility program during employee orientations.    •	 We create and distribute Frequently Asked Questions sheets on p
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,10,Initiative,False,program,"rs. •	 The SER team holds meetings with our business partners to update them on the migrant  worker program including supplier progress, remediation strategy and engagement and  activity with stakeholders. •"
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,10,Initiative,False,create,"	 New hire trainings on our corporate responsibility program during employee orientations.    •	 We create and distribute Frequently Asked Questions sheets on particular social or environ- mental issues, in"
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,2,Initiative,False,create, snapshot of our performance in fiscal years 2023 and 2024 and is  supplemented with a report B Lab created to reflect the B Impact Assessment that led to our recertification.
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,3,Initiative,False,implement,"April 30, 2023) and fiscal year  2024 (May 1, 2023 – April 30, 2024) to advance public  benefit and implement our specific benefit purposes."
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,9,Initiative,False,implement,"g Best Practices  with Other Companies In support of our commitment to “use business to inspire and implement solutions to the  environmental crisis,” we will share proprietary information and best practices w"
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,12,Initiative,False,program,"00,000 Dollars Patagonia matched in donations to  non-profits through the company’s  Employee Match Program $250,000 $200,000 Number of organizations funded through  Patagonia’s grants program in a fiscal ye"
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,12,Initiative,False,program,"Employee Match Program $250,000 $200,000 Number of organizations funded through  Patagonia’s grants program in a fiscal year 799 848 Employees globally who are actively involved in  grantmaking and deciding "
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,12,Initiative,False,program,"(1,299 in FY23  and 1,653 in FY24) participated in volunteering  through Patagonia’s Activism Hours Program, for  which employees are encouraged to use paid time  off to engage in activism and support non-pr"
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,12,Initiative,False,implement,166 points achieved by Patagonia during its 2023 B Corp recertification is due to  the many actions implemented by Patagonia’s teams and colleagues around the world. Below are a few  highlights from Fiscal Yea
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,12,Initiative,True,"\$\d+(?:,\d+)*(?:\.\d+)?\s*(?:million|billion|M|B)","sm and support non-profits 12,589 22,074 Hours of skill-based volunteering donated (valued  at over $2.1M in FY23 and $2.2M in FY24) through  Patagonia Action Works 11,229 11,794 Community events held at P"
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,12,Initiative,True,"\$\d+(?:,\d+)*(?:\.\d+)?\s*(?:million|billion|M|B)","-profits 12,589 22,074 Hours of skill-based volunteering donated (valued  at over $2.1M in FY23 and $2.2M in FY24) through  Patagonia Action Works 11,229 11,794 Community events held at Patagonia  North Am"
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,13,Initiative,False,project,"ost trusted brands 3 4 Continents where Patagonia has invested in on-  or off-site renewable energy projects (North  America, Japan, Australia, Chile, Europe - Italy) 5 5 Tons of mussels sold (which improve "
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,14,Initiative,False,program,"r their labor and  received improved benefits from Patagonia’s  participation in the Fair Trade USA program 86,696 82,815 Metric tons of Bureo’s NetPlus and HDPE  material Patagonia has used since starting i"
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,14,Initiative,False,program,"696 82,815 Metric tons of Bureo’s NetPlus and HDPE  material Patagonia has used since starting its  program to help remove discarded fishing nets  from the ocean 1,419 2,000 Patagonia Apparel Material Source"
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,18,Initiative,False,create,agonia’s functioning. Impact Business Models (IBMs) are ways in which a business can be designed to create a specific positive  benefit/result for one of its stakeholders. They can be based on Patagonia’s p
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,18,Initiative,False,scale,"esigned to allow comparability and to identify and  track improvement opportunities over time. The  scale ranges from 0 to 200. As an example, here are  some reference scores: B Impact Assessment  Details "
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,18,Initiative,True,"\$\d+(?:,\d+)*(?:\.\d+)?\s*(?:million|billion|M|B)"," are  some reference scores: B Impact Assessment  Details for Patagonia: Size: 1,000+ Revenue: U.S. $1B+ Market:  Sector: Wholesale/Retail Industry: Apparel Industry Category: Wholesale Average  initial "
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,19,Initiative,False,investment,"ice  guarantees and quality control, privacy  and data security, among others. Customer Stewardship Investment Focus Leadership and Communication Investment Criteria Portfolio Management Portfolio Reporting Dis"
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,19,Initiative,False,investment,"and data security, among others. Customer Stewardship Investment Focus Leadership and Communication Investment Criteria Portfolio Management Portfolio Reporting Disadvantaged Populations The Environment impact "
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,22,Initiative,False,partnership,"ty investments, community service, advocacy for social and environmental policies and  performance, partnerships with charitable organizations, paid time off for volunteering, and more. • The high score in this "
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,22,Initiative,False,investment,"gement and giving practices are legendary, encompassing financial and in-kind  donations, community investments, community service, advocacy for social and environmental policies and  performance, partnerships "
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,22,Initiative,False,create,"ults by Impact Area and Sub-Area: Community: Results Overview Operational Highlights: • The company creates inclusive work environments through a wide variety of best practices, trainings, and  policy, and "
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,23,Initiative,False,scale,ices directly from underserved suppliers.  Patagonia reports intentionally purchasing from: • Small-scale factories in underserved markets • Fair Wage/Labor Certified plantation/estate farms in underserved
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,25,Initiative,False,implement," by Impact Area and Sub-Area: Customers: Results Overview Operational Highlights: • The company has implemented all best practices identified in the B Impact Assessment for Managing Customer  Stewardship, incl"
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,25,Initiative,False,implement," the B Impact Assessment for Managing Customer  Stewardship, including offering product guarantees, implementing formal quality control mechanisms, ethical  marketing policies, monitoring customer satisfaction"
PAT_2024_LegalDocuments-ModernSlaveryAct-060324.pdf,2024,Modern Slavery Act,2,Initiative,False,implement,"forts to Combat Forced & Child Labor Patagonia regularly assesses risks in its supply chain and has implemented policies and due diligence practices  to mitigate the risk of modern slavery, forced labor, or ch"
PAT_2024_LegalDocuments-ModernSlaveryAct-060324.pdf,2024,Modern Slavery Act,2,Initiative,False,implement,"ractices. Patagonia communicates any updates to these policies to its suppliers. Patagonia has also implemented a Migrant Worker Employment Standards and Implementation  Guide, which is an addendum to the Benc"
PAT_2024_LegalDocuments-ModernSlaveryAct-060324.pdf,2024,Modern Slavery Act,2,Initiative,False,implement,"policies to its suppliers. Patagonia has also implemented a Migrant Worker Employment Standards and Implementation  Guide, which is an addendum to the Benchmark Standards and addresses forced and bonded labor "
PAT_2024_LegalDocuments-ModernSlaveryAct-060324.pdf,2024,Modern Slavery Act,3,Initiative,False,program,"s our progress against the FLA  Principles of Fair Labor and Responsible Sourcing. As a result, our program remains accredited  and is recognized for meeting or exceeding the FLA’s principles. Details about "
PAT_2024_LegalDocuments-ModernSlaveryAct-060324.pdf,2024,Modern Slavery Act,3,Initiative,False,partnership,"s have acknowledged receipt of the Policy and confirmed their  compliance with it.  e.	 Third Party Partnerships/Certifications/Verifications In addition to Patagonia’s direct work with supply chain partners, Pa"
PAT_2024_LegalDocuments-ModernSlaveryAct-060324.pdf,2024,Modern Slavery Act,3,Initiative,True,partnership," than 30 factories, which produce more  than 90% of all Patagonia styles. As a separate part of its partnership with Fair Trade USA, Patagonia  has paid more than $30 million in premiums to worker-controlled acc"
PAT_2024_LegalDocuments-ModernSlaveryAct-060324.pdf,2024,Modern Slavery Act,3,Initiative,False,partnership,0 million in premiums to worker-controlled accounts in Fair Trade Certified  factories. Patagonia’s partnership with Fair Trade USA is described on Patagonia’s website.
PAT_2024_LegalDocuments-ModernSlaveryAct-060324.pdf,2024,Modern Slavery Act,3,Initiative,False,establish," accredited member of the Fair Labor Association® (FLA), a  Washington, DC-based nonprofit that was established in 1999 to protect workers’ labor rights  around the world. Each year, we undergo the FLA’s annua"
PAT_2024_LegalDocuments-ModernSlaveryAct-060324.pdf,2024,Modern Slavery Act,3,Initiative,False,create,"to reach  Patagonia’s Social Responsibility team directly. In addition, we require our suppliers to create and maintain their own internal grievance mecha- nism. We have developed clear standards, a guidanc"
PAT_2024_LegalDocuments-ModernSlaveryAct-060324.pdf,2024,Modern Slavery Act,3,Initiative,True,"\$\d+(?:,\d+)*(?:\.\d+)?\s*(?:million|billion|M|B)","ia styles. As a separate part of its partnership with Fair Trade USA, Patagonia  has paid more than $30 million in premiums to worker-controlled accounts in Fair Trade Certified  factories. Patagonia’s partnersh"
PAT_2024_LegalDocuments-ModernSlaveryAct-060324.pdf,2024,Modern Slavery Act,4,Initiative,False,program,"ng forced and child labor laws. These  activities include special trainings, continuous improvement programs, capacity building initiatives, like  the ILO Better Work program and Fair Trade, and collaboratio"
PAT_2024_LegalDocuments-ModernSlaveryAct-060324.pdf,2024,Modern Slavery Act,4,Initiative,False,program,"rainings, continuous improvement programs, capacity building initiatives, like  the ILO Better Work program and Fair Trade, and collaboration efforts with other brands and the FLA. g.	 Employee Training We p"
PAT_2024_LegalDocuments-ModernSlaveryAct-060324.pdf,2024,Modern Slavery Act,4,Initiative,False,initiative,"ws. These  activities include special trainings, continuous improvement programs, capacity building initiatives, like  the ILO Better Work program and Fair Trade, and collaboration efforts with other brands and"
PAT_2024_LegalDocuments-ModernSlaveryAct-060324.pdf,2024,Modern Slavery Act,4,Initiative,False,partnership," by appointment with the factory. We use this approach as it conveys  our desire to build trust and partnership with our suppliers. In our experience, unannounced audits  have not yielded higher rates of finding"
PAT_2024_LegalDocuments-ModernSlaveryAct-060324.pdf,2024,Modern Slavery Act,4,Initiative,False,collaboration,"ment programs, capacity building initiatives, like  the ILO Better Work program and Fair Trade, and collaboration efforts with other brands and the FLA. g.	 Employee Training We provide training on human trafficki"
PAT_2024_LegalDocuments-ModernSlaveryAct-060324.pdf,2024,Modern Slavery Act,4,Initiative,False,announce,"h as it conveys  our desire to build trust and partnership with our suppliers. In our experience, unannounced audits  have not yielded higher rates of findings, if anything, it encourages supplier non-transpa"
PAT_2024_LegalDocuments-ModernSlaveryAct-060324.pdf,2024,Modern Slavery Act,4,Initiative,False,announce,"udit methodology; and our factory  pre-screening process. In exceptional cases we will conduct an unannounced audit.  Beyond auditing, Patagonia engages in numerous activities with our factories to encourage "
